CODICESCUOLA,Provincia,DENOMINAZIONESCUOLA,description:it
GOAA80202Q,GO,Via Cividale,Scuola Infanzia
UDEE834019,UD,Scuola Primaria Bilingue,Scuola Primaria
PNEE80902N,PN,Morsano T. Giovanni Marinelli,Scuola Primaria
PNMM81501V,PN,Scuola Media Luigi Luzzatti,Scuola Primo Grado
GOMM80401E,GO,Randaccio Giovanni,Scuola Primo Grado
PNMM83301C,PN,Sms Pier Paolo Pasolini,Scuola Primo Grado
TSAA820036,TS,Pika Nogavicka - L.Ins.Slovena,Scuola Infanzia
PNMM813017,PN,Augusto Lizier,Scuola Primo Grado
UDIC849001,UD,Codroipo,Istituto Comprensivo
UDIC820009,UD,Giovanni Xxiii - Tricesimo,Istituto Comprensivo
UDIC83200G,UD,Gonars,Istituto Comprensivo
PNMM826019,PN,Sms Bernardino Partenio,Scuola Primo Grado
UDAA826048,UD,Monumento ai Caduti per Patria,Scuola Infanzia
GOMM801024,GO,Sc. Media G. F. del Torre,Scuola Primo Grado
UDMM834018,UD,Scuola Sec. 1. Grado Bilingue,Scuola Primo Grado
UDAA84006L,UD,Pontebba,Scuola Infanzia
PNAA81501P,PN,Azzano X Giovanni Paolo Ii,Scuola Infanzia
UDAA85802N,UD,Udine-m. Forte,Scuola Infanzia
PNEE82503L,PN,Brugnera-cap. Nazario Sauro,Scuola Primaria
TSMM81601L,TS,I.Cankar - L.Ins.Slovena,Scuola Primo Grado
TSEE82004C,TS,A.Bubnic - L.Ins.Slovena,Scuola Primaria
PNEE80901L,PN,Cordovado I.Nievo,Scuola Primaria
PNEE83404C,PN,Sacile-s.Odorico Xxxi Ottobre,Scuola Primaria
UDAA84903X,UD,Codroipo/rivolto,Scuola Infanzia
UDAA83202D,UD,Chiara e Federico Gonars,Scuola Infanzia
UDEE82001B,UD,Pietro Mattioni - Cassacco,Scuola Primaria
UDMM82602A,UD,Caterina Percoto - Lauzacco,Scuola Primo Grado
GOEE80502C,GO,V. Da Feltre,Scuola Primaria
UDAA84002C,UD,Gianni Rodari Tarvisio Centrale,Scuola Infanzia
PNIC826008,PN,Ic Spilimbergo,Istituto Comprensivo
UDEE85803X,UD,Udine-a. Friz,Scuola Primaria
UDAA834014,UD,Scuola dell'infanzia Bilingue,Scuola Infanzia
TSRC001509,TS,PROFESSIONALE G.R.CARLI,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
TSAA80002X,TS,Di Duino,Scuola Infanzia
UDAA83203E,UD,Bagnaria Arsa/castions Mura,Scuola Infanzia
GOAA805027,GO,Via Capitello,Scuola Infanzia
PNEE80904Q,PN,Sesto Reghena-cap.D.Alighieri,Scuola Primaria
PNEE815043,PN,Azzano X-cap. Cesare Battisti,Scuola Primaria
PNEE83406E,PN,Sacile-cap.Vittorino Da Feltre,Scuola Primaria
UDEE82601A,UD,Piave - Lumignacco,Scuola Primaria
PNAA813057,PN,Cavasso Nuovo S.Angeli Custodi,Scuola Infanzia
UDIC84100A,UD,Istituto Comprensivo I - Udine,Istituto Comprensivo
PNAA826015,PN,Spilimbergo - Via Corridoni,Scuola Infanzia
GOAA805016,GO,Via dei Campi,Scuola Infanzia
UDAA81704D,UD,L. Linda - Martignacco/nogaredo,Scuola Infanzia
UDAA818016,UD,Don Angelo Pezzetta Ciconicco,Scuola Infanzia
UDMM826019,UD,Ippolito Nievo - Buttrio,Scuola Primo Grado
PNAA81502Q,PN,Azzano Decimo Nelson Mandela,Scuola Infanzia
UDIC834007,UD,I.C. Bilingue,Istituto Comprensivo
TSEE820019,TS,P.Voranc - L.Ins.Slovena,Scuola Primaria
TSAA800053,TS,Di Sistiana,Scuola Infanzia
PNAA834036,PN,Sacile-s.Giovanni Temp.Rodari,Scuola Infanzia
GOMM81101N,GO,In Lingua Slovena,Scuola Primo Grado
UDEE85802V,UD, G. Carducci  Udine,Scuola Primaria
PNEE81102N,PN,Font.Dda-vigonovog.Oberdan,Scuola Primaria
PNEE81306D,PN,"VITO D'ASIO-ANDUINS""L.DA VINCI""",SCUOLA PRIMARIA
UDAA818027,UD,Carlo Collodi - Madrisio,Scuola Infanzia
UDEE83202P,UD,E. Vanoni Bicinicco,Scuola Primaria
PNEE82601A,PN,Spilimbergo G.B.Cavedalis,Scuola Primaria
UDAA841028,UD,Pietro Benedetti,Scuola Infanzia
UDPM01901R,UD,G. Marchi,Istituto Magistrale
UDEE835037,UD,G. Pascoli-fraz.Pertegada,Scuola Primaria
PNAA834014,PN,Sacile V.Le Zancanaroc.Collodi,Scuola Infanzia
TSTD001018,TS,Leonardo Da Vinci - G.Rinaldo Carli,Istituto Tecnico Commerciale
PNEE81308G,PN,"CAVASSO NUOVO ""GIOV.XXIII""",SCUOLA PRIMARIA
GOEE81101P,GO, P. Voranc  - Lingua Slovena,Scuola Primaria
UDAA85803P,UD,Udine-sacro Cuore,Scuola Infanzia
PNIC80900E,PN,Ic Cordovado I.Nievo,Istituto Comprensivo
PNEE815032,PN,Azzano X-tiezzof.Lli De Carli,Scuola Primaria
TSTF01050N,TS,ALESSANDRO VOLTA,ISTITUTO TECNICO INDUSTRIALE
UDAA826015,UD,Arcobaleno - Lauzacco,Scuola Infanzia
UDAA841039,UD,I Maggio,Scuola Infanzia
GOIC805009,GO,Ist. Compr. Leonardo Da Vinci,Istituto Comprensivo
UDTD01901G,UD,M. Gortani,Istituto Tecnico Commerciale
UDEE81905B,UD,Scuola Primaria Blessano,Scuola Primaria
TSMM806012,TS,Muzio De Tommasini,Scuola Primo Grado
PNAA827011,PN,Cordenons-villa D'arcopoletti,Scuola Infanzia
TSTE03000P,TS,Grazia Deledda - Max Fabiani,Istituto Tecnico per Attività Sociali (già ITF)
UDEE835015,UD,Edmondo De Amicis,Scuola Primaria
TSTD00151N,TS,TECNICO G.R.CARLI,ISTITUTO TECNICO COMMERCIALE
PNMM81101G,PN,Fontanafredda I.Svevo,Scuola Primo Grado
PNAA813035,PN,Sequals-cap. Alice Pellarin,Scuola Infanzia
PNEE815054,PN,Azzano X Margherita Hack,Scuola Primaria
UDMM85801R,UD,G. Marconi - E. Bellavitis,Scuola Primo Grado
TSTE030504,TS,G. DELEDDA - M. FABIANI,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF)
GOEE81204N,GO,Scuola Primaria Alojz Gradnik,Scuola Primaria
GOAA81102E,GO,Via Stradalta - Lingua Slovena,Scuola Infanzia
UDMM84101B,UD,Gianbattista Tiepolo,Scuola Primo Grado
PNIC827004,PN,Ic Cordenons Alberto Manzi,Istituto Comprensivo
UDMM849012,UD,Sms G.Bianchi - Codroipo,Scuola Primo Grado
UDAA818038,UD,Dott. Fausto Righini-silvella,Scuola Infanzia
UDTD02101G,UD,Deganutti,Istituto Tecnico Commerciale
PNEE81101L,PN,Fontanafredda-casuts.Pellico,Scuola Primaria
PNEE81601Q,PN,Caneva-sarone G.Marconi,Scuola Primaria
UDEE85801T,UD,Udine-g. Mazzini,Scuola Primaria
UDEE00800R,UD,COLLEGIO UCCELLIS,SCUOLA PRIMARIA
TSIC819003,TS,Ic Aurisina-nabrezina-l.Ins.Slo,Istituto Comprensivo
GOEE81103R,GO,Vermegliano In Lingua Slovena,Scuola Primaria
PNAA82301N,PN,Roveredo In Piano-cap,Scuola Infanzia
UDRC019018,UD,J. Linussio,Istituto Professionale per i Servizi Commerciali
UDEE858041,UD,Udine-e. Girardini,Scuola Primaria
TSAA819032,TS,Di Malchina - L.Ins.Slovena,Scuola Infanzia
PNEE81103P,PN,Fontanafredda-cap. G. Marconi,Scuola Primaria
PNEE81305C,PN,Pinzano Al T..Carducci,Scuola Primaria
PNAA81601E,PN,Caneva - Stevenà,Scuola Infanzia
UDAA80903D,UD,Dott. Luigi Covassi,Scuola Infanzia
TSTF010008,TS,Alessandro Volta,Istituto Tecnico Industriale
UDEE849057,UD,Camino Al Tagliamento,Scuola Primaria
TSAA820014,TS,Kekec - L.Ins.Slovena,Scuola Infanzia
GOAA81206E,GO,Scuola dell'infanzia Kekec,Scuola Infanzia
GOEE80903R,GO,D. Alighieri,Scuola Primaria
UDEE84106N,UD,Divisione Alpina Julia,Scuola Primaria
UDEE819017,UD,P.David Maria Turoldo,Scuola Primaria
PNEE82301V,PN,Roveredo In Pianoenrico Fermi,Scuola Primaria
UDEE84103E,UD,San Domenico,Scuola Primaria
UDAA85801L,UD,Udine-a. Gabelli,Scuola Infanzia
PNIC81100E,PN,Ic Fontanafreddar.L.Montalcini,Istituto Comprensivo
PNMM81602Q,PN,Giovanni Pascoli Polcenigo,Scuola Primo Grado
UDEE01700G,UD,Convitto Naz.P.Diacono,Scuola Primaria
PNEE822057,PN,Porcia-s.Antoniodon L. Milani,Scuola Primaria
TSEE82002A,TS,F.Venturini - L.Ins.Slovena,Scuola Primaria
PNIC83000X,PN,Ic Pordenone Sud,Istituto Comprensivo
GOAA81204C,GO,Scuola dell'infanzia Soncek,Scuola Infanzia
GOIC80900L,GO,Marco Polo,Istituto Comprensivo
UDAA84401P,UD,Udine-via D'artegna,Scuola Infanzia
TSEE819048,TS,I Maj 1945-kokoravec-l.Ins.Slov,Scuola Primaria
UDAA84902V,UD,Codroipo/via Politi,Scuola Infanzia
