operator,name,provincia,addr:city,addr:street,addr:housenumber,lon,lat,addr:postcode,chiusura,note1,note2
GS SPA,CARREFOUR MARKET,RM,Roma,Via Elio Donato,27,12.4423835,41.9127756,00136,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Piazzale Della Staz Del Lido,18/20,12.2839754,41.7324772,00122,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Tuscolana,1039,12.5222244,41.879158,00182,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Ottone Fattiboni,117/147,,,00126,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Antonio Criminali,32,12.3406407,41.7768415,00126,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Città Della Pieve,42/52,12.4739616,41.9448359,00191,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Gregorio Xi,201/209,12.3947661,41.885911,00166,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Viale Antonio Ciamarra,243/253,12.5902893,41.8559673,00173,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Ernesto Boezi,SNC,12.3685145,41.7390275,00124,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Viale Degli Eroi Di Rodi,16,12.4361548,41.7820318,00128,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Vale Apelle,SNC,12.355475,41.7519507,00124,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Delle Fornaci,136/154,12.4570427,41.8964101,00165,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Della Pineta Sacchetti,199,12.428591972243575,41.93678755,00168,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Dei Sabelli,125/129,12.5173145,41.8980117,00185,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Cesare Baronio,161/165,12.5188502,41.871966,00179,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Alesia,35/37,12.5016557,41.8809017,00183,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Ignazio Persico,82,12.4864774,41.866354,00154,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Dell'Acquedotto Peschiera,22/30/A,,,00135,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Viale Giorgio De Chirico,78/88,12.5850091,41.9021353,00155,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Teodoro Monticelli,44440,12.4804131,41.9233954,00197,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Largo Del Bronzino,13,12.4948946,41.8307048,00142,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Dei Prati Fiscali,SNC,12.5252645,41.9459563,00141,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Casilina,995,12.5646576,41.8748036,00172,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Ugo Ojetti,SNC,12.5523297,41.9447107,00137,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Piazzale Degli Eroi,13,12.447084089193737,41.90899835,00128,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Largo Lamberto Loria,6,12.498873911370925,41.86186285,00147,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Germania,SNC,12.4695077,41.6154456,00196,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Dei Cessati Spiriti,8/BC,12.5297399,41.866568,00179,MAI,,
GUSTOFFICE SRLS,GUSTOFFICE BISTROT,RM,Roma,Via Zoe Fontana,220,12.606986256058027,41.92805025,00131,SABATO E DOMENICA,,
HABEMUS PINSA SRL,HABEMUS PINSA RISTORANTE PIZZERIA,RM,Roma,Via Umbria,19/21/23,12.4922009,41.9062845,00187,DOMENICA,,
HD SRL,CONAD,RM,Roma,Via Di Valle Aurelia,124,12.4366853,41.9079387,00167,MAI,,
HEDI'S BAR SNC DI MOSBAHI HEDI BEN ALI',HEDI'S BAR,RM,Roma,Via Francesco Carrara,7,12.4746954,41.9123859,00196,DOMENICA,,
HOJATI HAMID REZA E C. S.A.S.,HOJATI SNACK BAR,RM,Roma,Viale Castrense,7/C,12.5186271,41.8883978,00182,DOMENICA,,
HOME CAFE' E BISTROT DI NAPOLI MARIATERESA,HOME CAFE' AND BISTROT,RM,Roma,Via Calabria,26,12.5607132,42.1186727,00187,DOMENICA,,
HOPE SRLS,BAR OASIES,RM,Roma,Via Villafranca,1/A,12.5054399,41.904855,00185,MAI,,
HUG E CO BURGER COMPANY SRL,UVE E FORME,RM,Roma,Via Padova,43318,12.5190571,41.9110415,00161,DOMENICA,,
